,target,weekDay,weekOfYear,hourOfDay,dayOfMonth,KARAPINAR_Windy,KIVANC_Windy,TEKSIN_Windy,CINGILLI_Windy,BUYUKALAN_Windy,Balikesir_Windy,Gokcedag_Windy,Dinar_Windy,Ucpinar_Windy,Geycek_Windy
0,-196.21,2,17,0,28,2,0,0,0.0,22,1,1,1,0,1
1,-1.4599999999999937,2,17,1,28,2,0,0,0.0,22,1,1,1,0,1
2,0.0,2,17,2,28,18,0,0,0.0,22,1,1,1,0,2
3,-102.18,2,17,3,28,18,1,17,1.0,22,1,1,1,1,2
4,-79.27,2,17,4,28,18,1,17,1.0,22,1,0,1,1,2
5,-194.18,2,17,5,28,0,12,3,1.0,0,1,0,1,2,2
6,-1085.49,2,17,6,28,0,12,3,2.0,0,1,0,1,2,2
7,-357.52,2,17,7,28,0,12,3,2.0,0,1,0,1,2,2
8,371.1500000000001,2,17,8,28,0,0,0,0.0,5,2,1,1,2,2
9,508.2099999999999,2,17,9,28,0,0,0,0.0,5,2,1,1,2,2
10,570.0400000000001,2,17,10,28,0,0,0,0.0,5,2,1,1,2,2
11,542.47,2,17,11,28,2,0,0,4.0,47,2,1,3,1,3
12,598.06,2,17,12,28,2,0,0,4.0,47,2,1,3,1,3
13,1284.6899999999998,2,17,13,28,2,0,0,4.0,47,2,1,3,1,3
14,1531.23,2,17,14,28,27,8,2,0.0,11,4,2,5,0,5
15,1573.8600000000001,2,17,15,28,27,8,2,0.0,11,4,2,5,0,5
16,1104.56,2,17,16,28,27,8,2,0.0,11,4,2,5,0,5
17,907.05,2,17,17,28,27,14,30,42.0,21,2,3,5,0,2
18,322.43,2,17,18,28,22,14,30,42.0,21,2,3,5,1,2
19,-50.81,2,17,19,28,22,14,30,42.0,21,2,3,5,1,2
20,-678.8399999999999,2,17,20,28,63,14,6,30.0,69,1,1,1,2,3
21,140.06,2,17,21,28,63,14,6,30.0,69,1,1,1,2,3
22,64.33,2,17,22,28,63,14,6,30.0,69,1,1,1,2,3
23,-10.219999999999999,2,17,23,28,16,14,31,3.0,45,1,1,1,2,3
24,-109.62,3,17,0,29,79,0,44,32.0,70,1,1,2,2,4
25,-532.19,3,17,1,29,79,0,44,32.0,70,1,1,2,1,3
26,-903.8,3,17,2,29,79,0,44,42.0,32,1,1,2,1,3
27,-730.32,3,17,3,29,45,14,32,42.0,32,1,1,2,1,3
28,-1176.0,3,17,4,29,45,14,32,42.0,32,1,1,2,1,3
29,-1007.02,3,17,5,29,20,2,28,22.0,57,1,1,2,1,3
30,-1375.75,3,17,6,29,20,2,28,22.0,57,1,1,2,1,3
31,-729.3699999999999,3,17,7,29,20,2,28,22.0,57,1,1,2,1,2
32,5.55999999999996,3,17,8,29,20,11,11,11.0,49,1,1,2,1,2
33,172.91,3,17,9,29,50,11,11,11.0,49,1,1,2,1,2
34,175.47,3,17,10,29,50,11,11,11.0,49,1,1,5,2,2
35,0.0,3,17,11,29,50,53,76,67.0,34,3,2,5,2,6
36,25.0,3,17,12,29,70,53,76,67.0,34,3,2,5,2,6
37,85.46000000000001,3,17,13,29,77,53,76,67.0,34,3,2,5,2,6
38,85.08000000000001,3,17,14,29,73,75,59,32.0,49,4,2,6,2,8
39,71.85000000000001,3,17,15,29,73,75,59,32.0,49,4,2,6,2,4
40,-403.04,3,17,16,29,73,75,59,32.0,27,4,2,5,1,4
41,-555.1999999999999,3,17,17,29,8,0,5,32.0,27,2,2,5,1,4
42,-1218.84,3,17,18,29,8,0,5,19.0,27,2,2,5,1,4
43,-909.4100000000001,3,17,19,29,8,0,5,19.0,27,2,1,5,1,4
44,-1015.99,3,17,20,29,2,3,3,19.0,29,0,1,2,1,2
45,-637.04,3,17,21,29,2,3,3,6.0,29,0,1,2,1,2
46,-454.35,3,17,22,29,40,3,3,6.0,29,1,1,2,1,2
47,-490.77,3,17,23,29,40,30,36,2.0,63,1,1,2,2,3
48,-342.77,4,17,0,30,70,53,71,19.0,63,1,1,3,2,3
49,-173.67,4,17,1,30,70,77,71,61.0,64,0,1,1,1,2
50,-180.0,4,17,2,30,80,77,80,61.0,64,0,1,1,1,2
51,-351.43,4,17,3,30,80,77,80,61.0,64,0,1,1,1,2
52,-613.91,4,17,4,30,80,64,80,61.0,64,0,1,1,2,2
53,-870.53,4,17,5,30,80,64,41,72.0,0,1,1,1,2,4
54,-1936.0900000000001,4,17,6,30,55,64,41,72.0,0,1,1,1,2,4
55,-1715.17,4,17,7,30,55,15,13,34.0,0,1,1,1,2,3
56,-1132.98,4,17,8,30,26,15,13,34.0,0,1,1,1,2,3
57,-918.41,4,17,9,30,26,15,13,34.0,0,1,1,1,1,3
58,-959.8699999999999,4,17,10,30,26,15,13,34.0,0,2,1,1,2,3
59,-476.99,4,17,11,30,6,13,6,21.0,0,2,2,3,2,3
60,-256.37,4,17,12,30,6,13,6,1.0,0,2,1,3,2,2
61,-683.53,4,17,13,30,6,13,6,21.0,0,2,1,3,3,3
62,-140.98000000000002,4,17,14,30,42,11,27,44.0,0,2,1,4,3,3
63,191.83999999999997,4,17,15,30,42,11,27,43.0,8,2,1,4,3,3
64,49.050000000000004,4,17,16,30,42,11,22,43.0,8,2,1,4,3,1
65,-542.4100000000001,4,17,17,30,18,9,22,43.0,0,1,2,4,2,1
66,-373.00000000000006,4,17,18,30,18,9,22,43.0,0,1,2,4,2,1
67,0.0,4,17,19,30,18,9,22,2.0,0,1,1,4,2,0
68,-255.79999999999998,4,17,20,30,1,0,0,2.0,0,0,1,2,1,0
69,192.37,4,17,21,30,1,0,0,2.0,0,0,1,2,1,0
70,650.3100000000001,4,17,22,30,0,0,0,0.0,0,0,1,2,1,1
71,398.75,4,17,23,30,0,0,0,0.0,0,1,1,0,1,1
72,173.24000000000004,5,17,0,1,0,0,0,0.0,0,1,1,1,1,1
73,290.2,5,17,1,1,0,0,0,0.0,0,1,1,1,1,1
74,327.44999999999993,5,17,2,1,0,0,0,0.0,0,1,1,1,1,1
75,357.99,5,17,3,1,0,0,0,0.0,0,1,1,1,1,1
76,59.97,5,17,4,1,0,0,0,0.0,0,1,1,1,1,1
77,-404.1,5,17,5,1,0,0,0,0.0,24,1,1,1,1,1
78,-694.59,5,17,6,1,0,0,0,0.0,24,1,1,1,1,1
79,-564.5400000000001,5,17,7,1,0,0,0,0.0,24,1,1,1,1,1
80,-286.96,5,17,8,1,0,0,0,0.0,0,1,0,1,0,1
81,-55.9,5,17,9,1,0,0,0,0.0,0,1,0,1,0,1
82,181.51,5,17,10,1,0,0,0,0.0,0,1,0,1,0,1
83,793.98,5,17,11,1,25,12,7,9.0,5,2,2,1,2,3
84,967.43,5,17,12,1,25,12,7,9.0,5,2,2,1,2,3
85,583.69,5,17,13,1,25,12,7,9.0,5,2,2,1,2,3
86,320.12,5,17,14,1,25,12,10,13.0,61,2,3,2,2,4
87,281.57,5,17,15,1,4,22,10,13.0,61,2,3,2,4,4
88,535.53,5,17,16,1,4,22,10,13.0,61,2,3,2,4,4
89,762.78,5,17,17,1,14,8,25,5.0,41,2,3,2,4,3
90,233.31,5,17,18,1,14,8,25,5.0,41,2,3,2,3,3
91,316.03,5,17,19,1,14,8,25,5.0,41,2,3,2,3,3
92,118.85000000000001,5,17,20,1,14,10,19,6.0,2,2,2,2,4,1
93,225.12,5,17,21,1,14,10,19,6.0,2,2,2,2,4,1
94,42.5,5,17,22,1,14,10,19,6.0,2,2,2,2,4,1
95,120.93,5,17,23,1,0,0,0,13.0,27,1,0,1,4,1
96,-120.4,6,17,0,2,10,5,0,19.0,0,1,0,1,2,2
97,0.0,6,17,1,2,10,28,6,0.0,1,1,0,1,2,2
98,180.76,6,17,2,2,8,28,6,0.0,1,1,1,0,2,2
99,-183.32,6,17,3,2,8,28,6,0.0,1,1,1,0,2,2
100,-289.39,6,17,4,2,8,29,28,4.0,12,2,1,0,0,2
101,-385.09000000000003,6,17,5,2,29,29,28,4.0,12,2,1,1,0,2
102,-1847.59,6,17,6,2,29,29,28,4.0,12,2,1,1,0,1
103,-2524.9,6,17,7,2,44,29,28,4.0,12,1,0,1,0,1
104,-2235.8199999999997,6,17,8,2,44,12,0,24.0,24,1,0,1,2,1
105,-1648.81,6,17,9,2,44,12,0,24.0,24,1,0,1,2,1
106,-1578.8200000000002,6,17,10,2,44,12,0,24.0,0,4,1,1,4,1
107,-1084.8100000000002,6,17,11,2,2,1,0,24.0,0,4,0,2,4,3
108,-798.96,6,17,12,2,2,1,0,23.0,0,4,0,2,4,3
109,-333.02,6,17,13,2,2,22,0,23.0,0,4,3,3,4,3
110,351.35,6,17,14,2,24,22,25,37.0,3,4,3,3,5,3
111,11.340000000000003,6,17,15,2,24,22,25,37.0,3,4,3,3,5,3
112,48.23,6,17,16,2,37,22,32,37.0,17,4,3,3,5,1
113,-134.35,6,17,17,2,37,23,32,30.0,17,3,3,4,5,1
114,-218.13,6,17,18,2,37,23,32,30.0,17,3,3,2,5,1
115,-103.53999999999999,6,17,19,2,14,24,9,13.0,17,3,1,2,4,2
116,-486.77,6,17,20,2,14,24,9,13.0,17,1,1,2,4,2
117,-487.0,6,17,21,2,14,24,9,13.0,21,1,1,2,4,2
118,-483.5,6,17,22,2,14,24,9,17.0,0,1,1,2,4,2
119,-475.49,6,17,23,2,25,11,22,17.0,0,1,1,2,3,2
120,-129.55,0,18,0,3,12,12,10,0.0,7,2,0,2,3,1
121,-302.33,0,18,1,3,0,9,0,0.0,7,1,0,1,4,1
122,-646.76,0,18,2,3,0,9,0,0.0,7,1,0,1,4,1
123,-701.9499999999999,0,18,3,3,0,9,0,0.0,7,1,0,1,4,1
124,-833.3599999999999,0,18,4,3,0,9,0,0.0,7,2,0,1,4,1
125,-1217.07,0,18,5,3,0,7,4,3.0,11,2,1,0,4,1
126,-2401.49,0,18,6,3,10,7,4,3.0,11,2,1,0,4,1
127,-2098.64,0,18,7,3,10,3,4,3.0,11,2,1,1,4,2
128,-1933.67,0,18,8,3,1,3,4,0.0,15,2,1,1,4,2
129,-1440.59,0,18,9,3,1,3,4,0.0,15,2,0,1,4,2
130,-812.3100000000001,0,18,10,3,1,0,4,11.0,15,2,1,3,2,2
131,104.63000000000001,0,18,11,3,6,0,10,11.0,27,2,1,3,2,4
132,208.02,0,18,12,3,6,0,10,11.0,27,2,1,3,2,4
133,432.34000000000003,0,18,13,3,6,19,10,11.0,27,2,1,3,2,4
134,993.86,0,18,14,3,34,19,30,11.0,12,2,1,5,2,5
135,1192.72,0,18,15,3,34,10,30,22.0,12,2,3,5,2,5
136,1170.9699999999998,0,18,16,3,34,30,30,22.0,12,2,3,5,2,2
137,1369.3600000000001,0,18,17,3,34,30,30,49.0,29,2,3,5,2,2
138,1022.01,0,18,18,3,61,30,27,49.0,29,3,3,5,2,2
139,1018.14,0,18,19,3,61,30,27,49.0,29,3,3,5,2,2
140,279.27000000000004,0,18,20,3,31,30,27,20.0,21,2,3,2,1,2
141,47.76999999999999,0,18,21,3,31,8,30,20.0,21,2,0,2,1,2
142,-100.57000000000002,0,18,22,3,31,13,30,20.0,21,1,1,2,1,1
143,-317.32,0,18,23,3,21,13,23,11.0,25,1,1,2,2,1
144,26.220000000000002,1,18,0,4,23,5,16,20.0,25,2,0,1,3,1
145,288.99999999999994,1,18,1,4,23,5,16,20.0,25,2,0,1,3,1
146,644.31,1,18,2,4,23,5,16,20.0,25,2,0,1,3,1
147,300.87999999999994,1,18,3,4,13,15,7,16.0,41,4,1,0,5,3
148,378.6999999999999,1,18,4,4,13,15,7,16.0,41,4,1,0,5,3
149,-827.11,1,18,5,4,60,18,4,16.0,24,4,1,0,4,3
150,-1805.08,1,18,6,4,60,18,4,2.0,24,4,0,0,4,1
151,-1945.3600000000001,1,18,7,4,60,18,4,2.0,24,4,0,0,4,1
152,-470.4599999999999,1,18,8,4,26,41,53,5.0,65,3,0,1,4,1
153,-56.93,1,18,9,4,26,41,53,5.0,65,3,1,1,4,1
154,-77.54,1,18,10,4,26,41,53,5.0,65,3,1,1,4,1
155,754.6099999999999,1,18,11,4,26,54,56,47.0,54,4,1,3,5,1
156,899.8100000000002,1,18,12,4,58,54,56,47.0,54,4,2,3,5,5
157,1217.94,1,18,13,4,58,41,56,47.0,54,4,2,3,5,5
158,2028.7600000000002,1,18,14,4,58,41,77,66.0,54,4,4,4,5,5
159,2246.19,1,18,15,4,77,41,77,66.0,16,5,4,4,5,5
160,2269.01,1,18,16,4,77,41,77,66.0,16,5,4,4,5,5
161,1961.5600000000002,1,18,17,4,77,26,4,65.0,20,5,3,4,5,4
162,1060.09,1,18,18,4,18,26,4,65.0,20,5,3,4,5,4
163,379.85,1,18,19,4,18,26,4,65.0,20,5,3,4,5,4
164,-196.52,1,18,20,4,11,0,5,27.0,0,4,1,4,5,5
165,729.97,1,18,21,4,11,0,5,27.0,0,4,1,2,5,5
166,702.2,1,18,22,4,11,0,5,27.0,0,4,1,2,5,5
167,703.94,1,18,23,4,8,5,30,10.0,0,2,1,2,4,5
168,818.67,2,18,0,5,34,1,32,16.0,1,2,1,2,4,4
169,729.46,2,18,1,5,34,1,32,16.0,0,2,1,2,4,4
170,594.62,2,18,2,5,30,9,10,54.0,0,1,1,1,4,4
171,566.8500000000001,2,18,3,5,12,9,10,11.0,0,1,1,1,4,4
172,639.29,2,18,4,5,12,9,10,11.0,0,1,1,1,4,4
173,881.7900000000001,2,18,5,5,12,0,26,11.0,8,1,1,1,3,4
174,483.53000000000003,2,18,6,5,12,0,26,11.0,8,1,0,1,3,4
175,563.33,2,18,7,5,12,0,26,11.0,8,1,0,1,3,4
176,535.2399999999999,2,18,8,5,32,3,19,21.0,18,1,0,0,3,3
177,675.86,2,18,9,5,32,3,19,21.0,18,1,1,0,3,3
178,873.79,2,18,10,5,32,3,19,21.0,18,1,1,0,3,3
179,924.06,2,18,11,5,28,35,18,44.0,9,1,2,1,3,2
180,908.95,2,18,12,5,28,35,18,44.0,9,1,2,1,3,2
181,1234.01,2,18,13,5,28,35,18,44.0,9,1,2,1,3,2
182,1453.2,2,18,14,5,31,14,10,29.0,19,1,3,3,3,0
183,1456.03,2,18,15,5,31,14,10,29.0,19,1,3,3,3,0
184,1366.98,2,18,16,5,31,14,10,29.0,19,1,3,3,3,0
185,642.62,2,18,17,5,26,21,39,26.0,0,2,3,4,0,1
186,145.78000000000003,2,18,18,5,26,21,39,26.0,0,2,3,4,0,1
187,385.56000000000006,2,18,19,5,26,21,39,26.0,0,2,3,4,0,1
188,33.730000000000004,2,18,20,5,26,3,12,10.0,1,1,1,2,1,3
189,607.65,2,18,21,5,26,3,12,10.0,1,1,1,2,1,3
190,938.7,2,18,22,5,26,3,12,10.0,1,1,1,2,1,3
191,829.39,2,18,23,5,10,12,25,32.0,23,1,1,2,1,2
192,596.4800000000001,3,18,0,6,2,11,7,2.0,3,1,1,2,1,1
193,588.89,3,18,1,6,16,11,17,2.0,23,1,1,2,2,1
194,544.6,3,18,2,6,16,23,17,8.0,23,1,1,1,2,1
195,289.51,3,18,3,6,16,23,17,8.0,23,1,1,1,2,1
196,20.400000000000073,3,18,4,6,16,26,25,8.0,23,1,0,1,2,1
197,501.61999999999995,3,18,5,6,27,26,25,28.0,33,1,0,1,2,1
198,118.16999999999999,3,18,6,6,27,26,25,28.0,33,1,0,1,2,1
199,586.06,3,18,7,6,27,29,31,28.0,50,1,1,1,2,1
200,355.71000000000004,3,18,8,6,54,29,31,37.0,50,1,1,0,1,2
201,1031.5399999999997,3,18,9,6,54,29,31,37.0,50,1,1,0,1,2
202,1777.9900000000002,3,18,10,6,54,29,31,37.0,50,1,2,2,1,2
203,2031.62,3,18,11,6,29,50,48,58.0,27,1,2,2,1,1
204,1839.9099999999999,3,18,12,6,29,51,48,58.0,27,1,2,2,1,1
205,1271.2,3,18,13,6,29,41,48,58.0,6,1,3,5,1,1
206,1116.81,3,18,14,6,22,41,39,17.0,6,1,3,5,2,4
207,1408.3,3,18,15,6,22,41,39,17.0,6,1,3,5,2,4
208,994.62,3,18,16,6,31,41,49,17.0,6,1,3,4,1,3
209,-20.070000000000007,3,18,17,6,31,26,49,82.0,2,1,3,4,1,3
